"ISSUENAME","KENDALLPVALUE","KENDALLTAU","MANNWHITNEYPVALUE","PEARSONCOR","PEARSONPVALUE","PROJECTNAME","SHAPIROWILKPVALUE"
"code_smells.antisingleton","0.0501496494967811","0.087830978546932","3.78051596873449e-28","0.0638754867311267","0.181585613508717","QC:aoi","4.59279219007866e-38"
"code_smells.class_data_private","0.00939752420993601","-0.116465083128052","5.09983694847038e-24","-0.112980024404298","0.0178830037406464","QC:aoi","5.25856478224721e-37"
"code_smells.complex_class","5.21924017972879e-07","0.225019423596517","7.18877228358749e-14","0.251142783728061","9.67480947106633e-08","QC:aoi","3.38262013000737e-34"
"code_smells.lazy_class","0.701595730011519","-0.0171819114800283","8.8082294278726e-42","-0.0299235109209453","0.531761274689204","QC:aoi","8.90103690331338e-42"
"code_smells.long_method","0.000141711041550596","0.170630347491642","2.74040645890736e-08","0.132943047736321","0.00527213660619019","QC:aoi","2.08505512992022e-32"
"code_smells.long_parameter_list","0.000569718781276121","0.154508491647902","4.34302355759432e-25","0.116937719593322","0.0142243251396801","QC:aoi","2.78058420829817e-37"
"code_smells.spaghetti_code","0.485707927547299","0.0312615333872738","8.8082294278726e-42","0.00116861048567005","0.980521338561644","QC:aoi","8.90103690331338e-42"
"common.java.DuplicatedBlocks","0.0407302555535323","0.0917582313762879","0.271304739546293","0.0717226023348131","0.133509858481674","QC:aoi","1.09756710218628e-29"
"squid.AssignmentInSubExpressionCheck","3.80360771204167e-16","0.349942298285385","1.79830821802251e-06","0.447840936153403","4.84176999662186e-23","QC:aoi","4.21870346182593e-38"
"squid.ClassCyclomaticComplexity","5.33750691202253e-07","0.224585823772064","2.97268671817497e-34","0.259555314438338","3.43612169533419e-08","QC:aoi","1.23964227874296e-39"
"squid.ClassVariableVisibilityCheck","0.309123944811504","0.0441275279748981","8.56955331804692e-11","0.0878441129677408","0.0659376821742654","QC:aoi","6.24055218267497e-37"
"squid.CommentedOutCodeLine","0.17097634767467","0.0601822908890896","1.06645565832748e-19","0.127646967369288","0.00740990359931912","QC:aoi","7.30016217778717e-40"
"squid.EmptyStatementUsageCheck","1.90512659179194e-08","0.248064097236418","6.17225314548663e-22","0.173078784845603","0.000268852506715301","QC:aoi","2.809060912829e-38"
"squid.ForLoopCounterChangedCheck","0.00109530052455326","0.145762578042465","1.60790884656952e-35","0.135288241137263","0.00451719224324099","QC:aoi","2.04542934656185e-40"
"squid.HiddenFieldCheck","2.36019488030321e-10","0.282039132906891","1.00662217548408e-28","0.288401285921773","7.42533308350811e-10","QC:aoi","1.40168466602715e-39"
"squid.LabelsShouldNotBeUsedCheck","0.00204261966598259","0.138290523648284","8.8082294278726e-42","0.249905581738592","1.12309422130752e-07","QC:aoi","8.90103690331338e-42"
"squid.MethodCyclomaticComplexity","3.00051779058465e-06","0.196460864844201","0.730433914707224","0.330706507414375","1.15744285753026e-12","QC:aoi","1.45908469339422e-32"
"squid.MissingDeprecatedCheck","0.0590283872339433","0.0844680762867538","1.94320630547131e-39","0.0774814339651037","0.104969238488729","QC:aoi","1.29886155784168e-41"
"squid.ModifiersOrderCheck","0.840628983741628","0.00898420373483008","6.82141318008839e-37","0.0635179665212884","0.184047159582318","QC:aoi","2.7939813673696e-41"
"squid.RedundantThrowsDeclarationCheck","1.46210443961866e-08","0.251984210716258","3.83480374546087e-16","0.151991665024318","0.00140279285493204","QC:aoi","1.61551855847111e-35"
"squid.RightCurlyBraceStartLineCheck","0.464704613847349","-0.0327848292578066","8.65775692607205e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S00100","0.30060260637483","-0.0463912367540017","2.7677492794246e-42","-0.0351722098667742","0.46229930305969","QC:aoi","5.10921553792399e-42"
"squid.S00101","0.464704613847349","-0.0327848292578066","5.72125486251454e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S00105","0.264215417559268","-0.0500651116038364","9.08622266994939e-12","-0.00894147937985942","0.851806163252627","QC:aoi","1.49619434905729e-33"
"squid.S00107","5.86669105580357e-05","0.177898004733047","7.99608004384025e-23","0.216923967582609","4.5002006643664e-06","QC:aoi","2.23069796639371e-38"
"squid.S00108","0.199449772951105","0.0571204140416298","3.15357824225647e-29","-0.00472253341100369","0.92140306729505","QC:aoi","1.85926374535225e-40"
"squid.S00112","0.413198176962411","0.0365587982748086","1.59699668333035e-37","0.0189813724495894","0.691658209910378","QC:aoi","1.92856470197267e-41"
"squid.S00115","0.448376791049471","-0.0339608722576345","1.03451835961547e-37","0.00830273031350844","0.862283166673345","QC:aoi","8.14630032456974e-41"
"squid.S00116","0.983016656853966","0.000954550637779351","8.8082294278726e-42","0.00116861048567005","0.980521338561644","QC:aoi","8.90103690331338e-42"
"squid.S00117","0.193753352048804","-0.0580592120365962","1.70462956727363e-37","-0.0422068620072294","0.37766660449848","QC:aoi","8.79523747396231e-42"
"squid.S00120","0.00751833560043002","-0.119860713351302","2.5779146680864e-36","-0.0957569614317347","0.044939451208384","QC:aoi","3.64604283691375e-40"
"squid.S00122","0.399532970099934","0.0367220352559798","2.9020535796172e-13","0.101011165648608","0.034361907258203","QC:aoi","1.18822263602374e-39"
"squid.S106","0.115175740470187","0.0694453617565521","2.5751308795586e-22","0.0699072413367209","0.143650037694789","QC:aoi","3.42372849146458e-40"
"squid.S1066","0.07111504006108","0.0804137338052252","1.61213625847551e-30","0.0618500472728224","0.195856762830075","QC:aoi","1.26068759067151e-39"
"squid.S1067","0.00347582806302263","0.129597145514695","5.78917761412573e-26","0.14502802800853","0.00231806895374551","QC:aoi","2.75164283251925e-39"
"squid.S1068","0.0058680579428807","0.122878706183764","1.65882963816417e-32","0.117178874350304","0.0140243657101457","QC:aoi","1.79995442878052e-40"
"squid.S1118","0.264339528310873","-0.0499978177689193","6.42976474714144e-32","-0.05734172003051","0.230526490304174","QC:aoi","5.16907587448422e-39"
"squid.S1125","0.425669275123589","-0.0356004004620264","9.34297580645573e-38","-0.015099875757887","0.752386992743411","QC:aoi","6.12221327353244e-41"
"squid.S1126","0.797373082367591","-0.0114808233319958","4.20525569332354e-34","-0.0187446955292459","0.6953097159759","QC:aoi","1.08086376126998e-39"
"squid.S1132","0.000562682155413578","0.153681422216103","4.33109429731646e-34","0.267708728329361","1.21613123819691e-08","QC:aoi","8.83430862294111e-42"
"squid.S1133","0.0590283872339433","0.0844680762867538","1.94320630547131e-39","0.0774814339651037","0.104969238488729","QC:aoi","1.29886155784168e-41"
"squid.S1135","0.313369682638573","0.0452084554908612","3.35884896162871e-41","0.0957021928654546","0.0450627150991346","QC:aoi","1.39665157773562e-41"
"squid.S1141","0.0445456036195104","0.0898204321739182","2.15548739700455e-38","0.0385582568149286","0.420311154080385","QC:aoi","3.3303591628966e-41"
"squid.S1143","0.142303890275721","-0.0657387253846046","4.08641449408007e-41","-0.0496439126680044","0.299349255251571","QC:aoi","1.26807470343694e-41"
"squid.S1147","0.256053589643884","0.050929891991687","5.72125486251454e-43","0.0275381758869214","0.564985007829659","QC:aoi","3.12381762685349e-42"
"squid.S1148","7.71207430347579e-06","0.197081622023356","6.58385158101207e-21","0.141617955846943","0.00294168338101801","QC:aoi","6.62303137392912e-39"
"squid.S1149","0.00226323837310408","0.132687218763887","8.1022158757418e-10","0.135373733878115","0.00449161485956454","QC:aoi","1.32817178049028e-37"
"squid.S1150","0.423655285010111","0.0358777376783544","5.72125486251454e-43","0.000673155410569189","0.988778952486313","QC:aoi","3.12381762685349e-42"
"squid.S1151","0.859740791662218","0.00789591796289133","1.37220359815889e-35","0.0138657255905347","0.772042055051983","QC:aoi","3.13897334535651e-41"
"squid.S1153","0.133865825544783","0.0672192096732388","5.72125486251454e-43","0.0544031963632735","0.255343460442906","QC:aoi","3.12381762685349e-42"
"squid.S1155","1.37087216193696e-05","0.192850864310862","1.48224021801461e-25","0.278875470572726","2.76839087714174e-09","QC:aoi","3.59675198957016e-38"
"squid.S1158","0.464704613847349","-0.0327848292578066","5.72125486251454e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S1160","0.713083360677565","0.016474152791558","1.52682063229781e-40","0.0300429107185336","0.530124534905991","QC:aoi","1.9397732318227e-41"
"squid.S1161","3.69141462510981e-10","0.278040379086707","7.54018934901271e-27","0.257385601704602","4.50351013868666e-08","QC:aoi","6.14160327354605e-39"
"squid.S1163","0.464704613847349","-0.0327848292578066","6.99939921882358e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S1166","5.19967196231385e-06","0.198344000589768","1.99561821294849e-12","0.10670984529085","0.0253627578469292","QC:aoi","2.00450523175206e-37"
"squid.S1168","0.307293656048198","0.0456296690209658","1.23109664649588e-37","-0.0116376530734643","0.807890019665895","QC:aoi","3.93402844103095e-41"
"squid.S1170","0.0338064384456001","0.0951710227735307","2.26658606458011e-42","0.0770257172794947","0.107035562672769","QC:aoi","5.46795149210842e-42"
"squid.S1172","0.0180316923220201","0.105267468855783","6.23166786094502e-28","0.043630612660737","0.361773551469622","QC:aoi","4.94378861951167e-39"
"squid.S1181","0.224574529319984","0.0543080385404324","1.20102890281732e-38","0.0656240676425311","0.169896469515671","QC:aoi","2.53791183170423e-41"
"squid.S1185","0.204354891935172","-0.0569150817775938","8.8082294278726e-42","-0.0454695716242529","0.341874128413888","QC:aoi","8.90103690331338e-42"
"squid.S1186","0.000452810381832056","0.153462579966832","4.2687683064184e-11","0.144017963619313","0.00248887239543767","QC:aoi","4.41556574960516e-35"
"squid.S1188","8.83902282421502e-07","0.219979778175087","4.24402856455999e-34","0.291309054307887","4.91971743534151e-10","QC:aoi","7.80189151524346e-40"
"squid.S1191","0.0512168035205099","0.087426211354151","5.72125486251454e-43","0.13499825779233","0.0046049307224745","QC:aoi","3.12381762685349e-42"
"squid.S1192","2.95910010672897e-09","0.259271970661921","1.09744607001085e-13","0.38618091298952","4.60960802157971e-17","QC:aoi","2.49310843991546e-38"
"squid.S1193","0.00467819579217642","0.126650121769457","1.3486081529089e-40","0.098638100115461","0.0388430697322034","QC:aoi","1.08038022341507e-41"
"squid.S1197","3.42615568504015e-12","0.270430084995707","2.48113128724739e-29","0.294449311813194","3.13745551188547e-10","QC:aoi","3.7529851633485e-35"
"squid.S1199","0.0741597399631822","0.079956928425416","8.26113397205459e-41","0.0227338802231832","0.634764863155744","QC:aoi","4.24021190828455e-42"
"squid.S1201","0.220982141580824","0.0548228485370654","3.70320101831773e-30","0.0445290953759243","0.351962277274145","QC:aoi","1.49694092217906e-38"
"squid.S1206","0.172252196213435","-0.0612091807037941","1.66822327628258e-39","-0.0595524379868926","0.21301778341202","QC:aoi","4.68177197104682e-41"
"squid.S1210","0.00549201455909894","0.124510555867825","2.26658606458011e-42","0.229171003604346","1.21787136969683e-06","QC:aoi","5.46795149210842e-42"
"squid.S1213","0.0028499921268083","0.131129916344714","1.2983533058491e-13","0.0791647753822095","0.0976089039588149","QC:aoi","6.26029885233375e-35"
"squid.S1214","0.142300545090463","-0.0657953722933357","3.35884896162871e-41","-0.0525640533158993","0.271785934875945","QC:aoi","1.39665157773562e-41"
"squid.S1215","0.00938700869541268","0.116482325419137","2.26658606458011e-42","0.115062038860708","0.0158670377424709","QC:aoi","5.46795149210842e-42"
"squid.S1226","0.21323311550082","0.0543645782219699","1.88711719841916e-14","0.129844551869452","0.00644319233648123","QC:aoi","1.63320897657254e-38"
"squid.S1244","0.345308681175639","-0.0395056865147989","0.788078668437003","0.100849138152363","0.0346532086850531","QC:aoi","1.53848750730939e-33"
"squid.S1301","0.0133066809285401","0.111003827784197","3.35884896162871e-41","0.217010939741108","4.4597805139407e-06","QC:aoi","1.39665157773562e-41"
"squid.S1319","0.000327953635522824","0.160695127734326","1.23212380008816e-37","0.157515103047374","0.000927660858479952","QC:aoi","1.15174792570758e-40"
"squid.S134","2.60971880422549e-10","0.269918653222402","0.000176958026419454","0.221119229367138","2.89997045502248e-06","QC:aoi","2.87390626641202e-37"
"squid.S135","0.00379806174685346","0.128391273178933","6.18415807422268e-27","0.177330364387917","0.000188066761715929","QC:aoi","1.16925094768451e-38"
"squid.S1444","0.41472515500415","0.036483220502504","2.58026966641164e-39","0.0706415764976934","0.139479514265713","QC:aoi","1.07564180007807e-41"
"squid.S1481","0.156181608786207","0.0628561616070234","1.54839788643079e-25","0.0850923796587927","0.0749072927183616","QC:aoi","6.55303003764049e-41"
"squid.S1488","0.95031980140798","-0.00279387662177994","4.62096014322764e-40","0.0347506008162438","0.467685890220523","QC:aoi","3.187735206542e-41"
"squid.S1598","0.00751833560043002","-0.119860713351302","2.5779146680864e-36","-0.0957569614317347","0.044939451208384","QC:aoi","3.64604283691375e-40"
"squid.S1700","0.767720323258009","0.0132443900991885","8.8082294278726e-42","0.0788989140022083","0.0987432458828642","QC:aoi","8.90103690331338e-42"
"squid.S1872","0.133865825544783","0.0672192096732388","5.72125486251454e-43","0.0544031963632735","0.255343460442906","QC:aoi","3.12381762685349e-42"
"squid.S1905","0.00793972117197375","0.118188726752017","1.40771407188917e-32","0.036392139627448","0.44690916644381","QC:aoi","2.66436423901625e-40"
"squid.S1948","0.20435746927098","-0.0568716185549299","1.30807837159588e-41","-0.0437419698243846","0.360548360233644","QC:aoi","8.33822355623518e-42"
"squid.S2068","0.0665497853721406","0.0822713639865714","8.65775692607205e-43","0.0812682168396257","0.0889960384253774","QC:aoi","3.12381762685349e-42"
"squid.S2094","0.0485354488419627","0.088457180827667","5.72125486251454e-43","0.188728298745034","6.92538326096343e-05","QC:aoi","3.12381762685349e-42"
"squid.S2130","0.0790593966787964","0.0786602725470376","2.06060799239384e-41","0.123764913178723","0.00943829347532502","QC:aoi","6.20898049332272e-42"
"squid.S2131","0.17339483927408","0.0609633503238091","1.85353587899556e-40","0.0420875930597333","0.379017166354409","QC:aoi","1.88205774895067e-41"
"squid.S2153","0.464704613847349","-0.0327848292578066","6.99939921882358e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S2157","0.464704613847349","-0.0327848292578066","5.72125486251454e-43","-0.026191865065783","0.584165925097074","QC:aoi","3.12381762685349e-42"
"squid.S2178","0.985139396341817","0.000834593982986392","1.32259354639289e-41","-0.0152075077611852","0.750680202569955","QC:aoi","6.6536983196865e-42"
"squid.S2184","0.23523313619327","0.0530083089339074","3.40226590002136e-35","0.0573879448778701","0.23015025755885","QC:aoi","1.68610569104302e-40"
"squid.S2250","0.586707185422932","0.0243766269987418","2.26658606458011e-42","0.0199712349076755","0.676464524705217","QC:aoi","5.46795149210842e-42"
"squid.S2274","0.983016656853966","0.000954550637779351","8.8082294278726e-42","0.00116861048567005","0.980521338561644","QC:aoi","8.90103690331338e-42"
"squid.S2276","0.00703287986543755","0.12086136020933","2.26658606458011e-42","0.191134682023133","5.56543556377584e-05","QC:aoi","5.46795149210842e-42"
"squid.S2386","0.104015194136267","0.0727215657671659","4.36083251460354e-39","0.122996522773329","0.00989386097119832","QC:aoi","3.80721846944275e-41"
"squid.SwitchLastCaseIsDefaultCheck","0.00163555795514104","0.14079133996998","7.12265914993404e-30","0.265664715887606","1.58306303192384e-08","QC:aoi","6.82627900056631e-39"
"squid.UnusedPrivateMethod","6.68131964487331e-15","0.336066057505248","9.56999526954847e-08","0.38263324127544","9.35957479458429e-17","QC:aoi","5.49181632049383e-35"
"squid.UselessImportCheck","0.444891189387707","0.0341290015433902","5.58422879569283e-37","0.0300434870485324","0.530116640728236","QC:aoi","7.00311404699402e-41"
