_project,afferent-couplings,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,efferent-couplings,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,line_coverage,lines,lines_to_cover,major_violations,minor_violations,missing_package_info,missing_package_info_count,ncloc,ncloc_language_distribution,new_blocker_violations,new_bugs,new_code_smells,new_critical_violations,new_info_violations,new_maintainability_rating,new_major_violations,new_minor_violations,new_reliability_rating,new_reliability_remediation_effort,new_security_rating,new_security_remediation_effort,new_sqale_debt_ratio,new_technical_debt,new_violations,new_vulnerabilities,number-of-classes-and-interfaces,open_issues,package,package-dependency-cycles,package_count,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,sqale_debt_ratio,sqale_index,sqale_rating,statements,uncovered_lines,violations,vulnerabilities,wont_fix_issues,code_smells:antisingleton,code_smells:baseclass_abstract,code_smells:class_data_private,code_smells:complex_class,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:spaghetti_code,code_smells:speculative_generality,code_smells:swiss_army_knife,common-java:DuplicatedBlocks,jdepend:afferent-couplings,squid:AssignmentInSubExpressionCheck,squid:ClassCyclomaticComplexity,squid:ClassVariableVisibilityCheck,squid:CommentedOutCodeLine,squid:EmptyStatementUsageCheck,squid:ForLoopCounterChangedCheck,squid:HiddenFieldCheck,squid:LabelsShouldNotBeUsedCheck,squid:MethodCyclomaticComplexity,squid:MissingDeprecatedCheck,squid:ModifiersOrderCheck,squid:ObjectFinalizeCheck,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,squid:ObjectFinalizeOverridenCheck,squid:RedundantThrowsDeclarationCheck,squid:RightCurlyBraceStartLineCheck,squid:S00100,squid:S00101,squid:S00105,squid:S00107,squid:S00108,squid:S00112,squid:S00114,squid:S00115,squid:S00116,squid:S00117,squid:S00119,squid:S00120,squid:S00122,squid:S106,squid:S1065,squid:S1066,squid:S1067,squid:S1068,squid:S1118,squid:S1125,squid:S1126,squid:S1132,squid:S1133,squid:S1134,squid:S1135,squid:S1141,squid:S1143,squid:S1145,squid:S1147,squid:S1148,squid:S1149,squid:S1150,squid:S1151,squid:S1153,squid:S1155,squid:S1157,squid:S1158,squid:S1160,squid:S1161,squid:S1163,squid:S1165,squid:S1166,squid:S1168,squid:S1170,squid:S1171,squid:S1172,squid:S1174,squid:S1175,squid:S1181,squid:S1182,squid:S1185,squid:S1186,squid:S1188,squid:S1190,squid:S1191,squid:S1192,squid:S1193,squid:S1194,squid:S1195,squid:S1197,squid:S1199,squid:S1201,squid:S1206,squid:S1210,squid:S1213,squid:S1214,squid:S1215,squid:S1217,squid:S1219,squid:S1220,squid:S1221,squid:S1223,squid:S1226,squid:S1244,squid:S128,squid:S1301,squid:S1312,squid:S1313,squid:S1314,squid:S1319,squid:S134,squid:S135,squid:S1444,squid:S1452,squid:S1479,squid:S1481,squid:S1488,squid:S1596,squid:S1598,squid:S1700,squid:S1764,squid:S1850,squid:S1860,squid:S1862,squid:S1872,squid:S1905,squid:S1948,squid:S1994,squid:S2055,squid:S2061,squid:S2065,squid:S2066,squid:S2068,squid:S2077,squid:S2094,squid:S2109,squid:S2110,squid:S2111,squid:S2114,squid:S2116,squid:S2118,squid:S2123,squid:S2130,squid:S2131,squid:S2133,squid:S2134,squid:S2151,squid:S2153,squid:S2157,squid:S2160,squid:S2165,squid:S2166,squid:S2175,squid:S2176,squid:S2178,squid:S2183,squid:S2184,squid:S2200,squid:S2225,squid:S2232,squid:S2236,squid:S2250,squid:S2251,squid:S2252,squid:S2272,squid:S2273,squid:S2274,squid:S2275,squid:S2276,squid:S2326,squid:S2386,squid:S2388,squid:S2437,squid:S2438,squid:S2440,squid:S2447,squid:S888,squid:SwitchLastCaseIsDefaultCheck,squid:UnusedPrivateMethod,squid:UselessImportCheck,squid:UselessParenthesesCheck
QC:aoi,0,ERROR,30,721,37.9,623,9526,28934,14002,11.0,23611,23611,23071,0,0.0,1085,3383100,24,1209,188,20246,13.2,0,0,0,48.5,0=59;5=54;10=101;20=61;30=92;60=47;90=73,487,3.4,1=3777;2=1294;4=519;6=297;8=179;10=128;12=372,6839,20,0.0,153423,74091,5242,4446,24,24,112770,java=112770,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,10823,24,0,24,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"30";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"337";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10823";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,4105,0,4.0,6130,3.3,111595,1.0,67724,74091,10823,576,0,31,0,42,78,0,3,108,39,0,0,0,3,0,0,188,0,672,18,418,344,93,23,46,3,421,16,36,0,0,0,79,3,3,1,88,72,63,29,0,12,3,68,0,13,534,323,0,38,68,35,23,17,20,150,16,0,4,21,5,0,1,118,259,1,47,1,56,0,1,6,58,2,0,236,20,2,0,45,0,0,18,0,3,140,20,0,1,182,11,0,0,3021,21,27,7,2,107,4,2,0,0,0,0,0,215,640,0,4,0,0,0,13,623,55,25,0,0,85,6,0,13,3,0,0,0,0,1,47,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,8,7,0,0,0,2,1,0,0,0,0,0,5,0,29,0,0,0,0,2,0,0,0,0,3,0,2,0,12,0,0,0,0,0,0,31,272,21,0
QC:argouml,0,ERROR,19,151,18.4,2298,15578,36567,89603,31.4,42289,42289,41653,0,0.0,636,5870100,128,3246,1294,221994,56.7,0,0,0,22.0,0=741;5=420;10=334;20=137;30=152;60=61;90=77,1922,2.3,1=9629;2=3656;4=1279;6=558;8=287;10=142;12=377,17839,2355,0.0,391837,115653,8683,4347,128,128,195670,java=195670,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,16040,128,0,128,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"19";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"16040";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2942,0,4.0,3785,4.0,231994,1.0,87893,115653,16040,311,0,17,3,61,333,0,50,429,89,3,1,0,6,2,0,1294,0,0,24,229,794,4,11,6,72,435,97,190,0,0,2,223,24,116,0,723,11,55,40,0,407,163,409,0,119,206,114,1,212,56,70,44,14,54,712,313,29,2042,32,3,10,7,12,304,3,203,0,107,18,0,2,124,3,2,356,44,6,6,51,0,0,13,2,9,171,15,0,0,243,9,0,0,106,1041,0,0,6,593,18,1,0,0,0,5,1,285,7,4,23,8,0,0,9,685,44,65,0,44,123,180,203,0,9,11,0,3,8,5,24,77,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,14,12,0,0,0,0,1,5,0,12,0,0,4,0,9,0,0,0,0,57,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,32,43,149,37
QC:aspectj,0,ERROR,136,230,36.4,3532,50750,150506,145476,22.6,128592,128592,127141,0,0.0,3158,14908560,144,3570,1501,310307,39.5,0,0,0,44.4,0=843;5=375;10=460;20=307;30=432;60=150;90=328,2901,2.9,1=21978;2=8877;4=3165;6=1484;8=880;10=568;12=1885,43229,837,0.0,786333,319335,32337,18205,144,144,496952,java=496952,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,54673,144,0,144,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"136";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"54673";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2390,0,4.0,45565,3.8,571229,1.0,268729,319335,54673,3693,0,93,5,353,437,0,63,352,183,2,0,6,10,2,0,1501,0,1534,138,2402,5129,22,107,67,374,2160,268,1037,0,0,0,137,22,438,2,2737,184,90,400,0,2046,632,953,0,0,4677,1690,0,946,352,56,100,82,109,963,302,226,535,84,1,3,12,111,1691,3,1584,13,207,2,23,9,184,0,58,1512,339,23,5,564,0,0,92,3,31,180,60,8,7,337,23,0,0,194,91,0,41,7,3472,101,1,0,9,2,0,0,1289,66,147,381,8,0,0,71,4176,328,547,72,20,56,285,213,0,31,37,0,0,7,3,5,17,4,0,0,20,0,0,0,8,0,0,0,0,4,0,0,24,41,0,1,0,2,14,7,0,3,0,0,3,4,11,0,0,0,0,19,2,0,7,0,1,0,0,0,633,4,0,0,4,0,0,1017,57,2,11
QC:axion,0,ERROR,1,83,25.9,248,3380,5479,3311,12.1,6424,6424,6341,0,0.0,130,724890,13,267,39,2985,7.0,0,0,0,27.1,0=67;5=60;10=44;20=28;30=23;60=4;90=11,237,2.1,1=1896;2=488;4=183;6=80;8=35;10=29;12=62,3043,139,0.0,42715,14101,998,2241,13,13,24163,java=24163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3509,13,0,13,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"1";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"3509";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,208,0,4.0,585,4.2,30679,1.0,11941,14101,3509,46,0,3,0,8,31,0,1,46,7,1,0,0,0,0,0,39,0,20,6,28,32,69,3,0,22,72,11,190,0,0,0,66,0,137,0,12,0,56,70,0,4,406,8,0,0,552,11,3,19,2,3,1,11,87,3,11,3,128,3,0,79,0,4,37,0,60,1,3,0,0,23,7,0,7,106,1,0,0,3,0,0,1,0,1,62,3,1,0,38,0,1,0,13,102,0,0,0,510,3,0,0,2,0,0,0,36,2,0,46,30,0,5,4,64,6,11,0,5,4,15,5,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,3
QC:c_jdbc,0,ERROR,38,76,17.1,779,5754,14227,29691,23.7,13321,13321,13246,0,0.0,1030,2869470,146,900,132,21059,12.0,0,0,0,18.3,0=269;5=182;10=131;20=53;30=49;60=20;90=24,728,2.2,1=3863;2=1042;4=435;6=162;8=81;10=56;12=128,6120,255,0.0,175913,52932,3585,1184,146,146,95649,java=95649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,6092,146,0,146,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"38";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"6092";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1310,0,4.0,3770,3.6,103089,1.0,39288,52932,6092,262,0,54,0,21,140,0,4,165,60,0,0,0,6,0,0,132,0,1,13,60,229,8,10,4,0,151,14,1,0,0,4,47,0,0,12,9,18,203,156,0,334,15,9,0,0,0,437,0,51,14,0,43,25,13,94,14,15,241,189,0,0,21,123,220,0,30,1,15,2,0,12,102,0,6,701,16,5,12,5,0,0,2,6,6,135,2,0,1,353,18,0,0,3,1,0,25,1,116,3,13,0,0,4,0,0,56,7,0,1,7,7,2,159,452,22,10,0,1,11,46,0,0,2,0,0,2,0,1,25,9,0,0,0,1,0,37,9,1,0,0,0,0,0,0,0,51,48,1,0,0,0,2,3,0,19,0,11,4,0,10,0,0,1,9,29,0,0,0,0,42,0,0,0,16,0,0,0,1,0,0,0,1,0,0
QC:castor,0,ERROR,143,404,15.1,3096,26414,36577,80687,25.5,46671,46671,45226,0,0.0,1992,7081020,515,6199,956,89470,18.8,0,30665,0,16.2,0=1050;5=632;10=612;20=272;30=189;60=56;90=62,2873,1.9,1=17210;2=3109;4=835;6=488;8=230;10=182;12=446,23500,301,0.0,475596,142567,9601,15064,515,515,236034,java=236034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,27101,515,0,515,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"143";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"27101";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,3297,0,4.0,3010,5.4,384716,2.0,117840,142567,27101,283,0,11,4,32,511,0,61,573,427,0,0,4,4,1,0,956,0,89,19,154,597,108,3,16,90,534,89,367,0,0,4,2304,1,645,18,148,4,68,723,1,36,5217,97,0,180,2857,280,53,147,186,18,38,20,346,188,90,29,211,65,0,209,8,102,554,12,358,1,69,4,6,28,113,0,36,1663,13,7,0,55,1,0,105,7,18,171,374,0,0,1011,150,6,0,19,582,0,37,0,552,23,2,0,2,157,22,0,237,16,8,92,95,0,32,68,674,75,4,65,9,57,103,0,3,1,2,0,1,1,19,20,48,0,0,0,4,0,0,5,14,0,0,4,0,2,0,0,20,11,0,0,0,4,1,1,0,29,0,1,1,0,9,5,1,0,0,31,0,5,7,0,21,0,0,0,18,0,0,0,0,2,0,11,13,106,44
QC:cayenne,0,ERROR,109,225,10.9,3193,9543,24187,24099,10.8,34672,34672,33318,0,0.0,597,5964780,238,1517,343,21249,6.2,0,0,0,12.4,0=1246;5=624;10=446;20=202;30=186;60=51;90=41,2796,1.8,1=13079;2=3254;4=978;6=347;8=186;10=105;12=174,18982,695,0.0,344680,112900,5163,3335,238,238,198826,java=198826,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,9899,238,0,238,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"109";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"9899";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2395,0,4.0,2115,3.7,220381,1.0,88014,112900,9899,131,0,25,4,18,479,0,209,655,106,1,0,32,0,25,0,343,0,39,5,52,166,24,6,117,20,220,204,126,0,0,0,153,1,113,253,146,1,77,168,0,54,55,50,0,12,178,43,9,92,22,3,37,40,33,50,343,5,352,18,2,79,1,16,119,0,161,15,102,3,0,7,81,2,14,380,45,5,0,46,0,0,96,0,9,383,49,0,1,902,50,3,0,29,90,0,11,2,436,11,11,0,2,4,0,0,230,1,2,50,66,6,20,3,440,58,11,40,1,38,17,186,0,5,1,0,0,0,15,8,48,0,0,0,15,0,19,12,21,0,0,42,0,0,1,0,0,6,0,0,0,0,1,3,0,16,8,0,0,4,8,0,0,1,0,1,0,0,1,1,1,0,0,0,15,0,0,0,0,1,0,49,10,51,15
QC:checkstyle,57,ERROR,46,194,7.4,1217,5092,5706,24247,31.2,8977,8977,8704,0,0.0,290,1601580,79,123,50,2658,2.7,234,0,0,11.1,0=377;5=146;10=159;20=59;30=54;60=11;90=5,811,1.9,1=3320;2=626;4=234;6=121;8=48;10=32;12=64,4634,157,0.0,97902,27922,3254,1597,50,50,53386,java=53386,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,595,5344,79,837,79,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"46";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"5344";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1425,0,4.0,605,4.8,77545,1.0,16471,27922,5344,58,0,5,2,10,186,0,0,158,100,2,0,2,0,0,0,50,0,35,1,42,155,50,16,36,11,77,16,9,3,0,9,34,3,17,45,17,11,249,53,4,32,118,26,19,0,21,169,11,97,44,188,25,14,12,34,51,8,106,11,5,109,9,13,58,0,53,0,3,0,0,2,33,0,0,154,6,2,28,116,7,1,23,2,2,399,3,0,3,517,0,0,0,13,51,10,18,6,259,13,0,0,0,35,1,4,58,0,46,22,9,0,5,6,65,10,2,0,1,339,6,0,27,0,11,2,0,5,0,9,4,0,0,2,2,4,0,0,65,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,30,1,0,0,0,0,0,0,22,104,101,14
QC:cobertura,0,ERROR,24,55,117.4,160,12282,17251,3458,6.0,18790,18790,18770,0,0.0,505,1636650,34,1581,48,37545,55.0,0,22885,0,134.2,0=46;5=25;10=21;20=18;30=14;60=3;90=13,140,5.4,1=1037;2=1240;4=592;6=182;8=81;10=55;12=292,3506,22,0.0,68282,37317,2486,9428,34,34,54555,java=54555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,12465,34,0,34,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"24";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"12465";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,309,0,4.0,1455,6.4,104717,2.0,32220,37317,12465,128,0,3,2,26,30,0,1,31,17,0,0,0,0,0,0,48,0,110,8,86,98,519,23,0,272,310,9,539,0,0,0,8,0,1921,0,103,1,41,41,0,16,189,64,0,0,3846,134,6,16,4,37,12,2,1118,68,9,0,13,1,0,17,10,16,48,0,350,0,9,0,1,3,22,0,24,382,0,0,2,19,0,0,23,0,4,4,0,0,0,73,0,8,0,25,6,0,0,0,556,4,0,0,34,2,0,0,106,32,1,359,11,0,36,2,267,26,9,0,54,32,6,0,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,12,9,25,18
QC:collections,0,ERROR,10,63,15.8,660,4465,6370,22928,29.3,10433,10433,10160,0,0.0,919,1661940,23,1163,409,86594,78.8,0,0,0,22.3,0=85;5=112;10=153;20=39;30=39;60=13;90=26,467,1.6,1=4702;2=1240;4=265;6=91;8=27;10=13;12=33,6474,35,0.0,109875,35946,2216,1365,23,23,55398,java=55398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4545,23,0,23,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"10";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"4545";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1192,0,4.0,200,3.9,65019,1.0,30525,35946,4545,17,0,2,1,2,77,0,2,107,57,0,0,0,0,4,0,409,0,13,4,6,179,4,6,52,2,38,24,17,0,0,0,49,0,0,0,5,0,398,10,0,6,47,32,0,0,186,17,2,7,11,1,13,217,6,53,24,5,11,0,0,0,0,6,40,1,25,4,40,0,0,0,273,0,0,831,10,4,0,1,0,0,2,4,11,36,20,0,0,194,0,0,0,146,19,0,8,0,269,0,6,0,0,0,0,0,83,0,28,0,0,0,0,1,63,8,1,0,0,83,19,16,0,2,1,0,0,0,0,55,28,0,0,0,17,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,0,17,0,0,0,2,2,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,4,0,0,0,0,1,0,22,3,0,0
