"issueName","mannWhitneyPvalue","shapiroWilkPvalue","kendallPvalue","kendallTau","pearsonPvalue","pearsonCor"
"code_smells.antisingleton",3.78051596873449e-28,4.59279219007866e-38,0.0501496494967811,0.087830978546932,0.181585613508717,0.0638754867311267
"code_smells.class_data_private",5.09983694847038e-24,5.25856478224721e-37,0.00939752420993601,-0.116465083128052,0.0178830037406464,-0.112980024404298
"code_smells.complex_class",7.18877228358749e-14,3.38262013000737e-34,5.21924017972879e-07,0.225019423596517,9.67480947106633e-08,0.251142783728061
"code_smells.lazy_class",8.8082294278726e-42,8.90103690331338e-42,0.701595730011519,-0.0171819114800283,0.531761274689204,-0.0299235109209453
"code_smells.long_method",2.74040645890736e-08,2.08505512992022e-32,0.000141711041550596,0.170630347491642,0.00527213660619019,0.132943047736321
"code_smells.long_parameter_list",4.34302355759432e-25,2.78058420829817e-37,0.000569718781276121,0.154508491647902,0.0142243251396801,0.116937719593322
"code_smells.spaghetti_code",8.8082294278726e-42,8.90103690331338e-42,0.485707927547299,0.0312615333872738,0.980521338561644,0.00116861048567005
"common.java.DuplicatedBlocks",0.271304739546293,1.09756710218628e-29,0.0407302555535323,0.0917582313762879,0.133509858481674,0.0717226023348131
"squid.AssignmentInSubExpressionCheck",1.79830821802251e-06,4.21870346182593e-38,3.80360771204167e-16,0.349942298285385,4.84176999662186e-23,0.447840936153403
"squid.ClassCyclomaticComplexity",2.97268671817497e-34,1.23964227874296e-39,5.33750691202253e-07,0.224585823772064,3.43612169533419e-08,0.259555314438338
"squid.ClassVariableVisibilityCheck",8.56955331804692e-11,6.24055218267497e-37,0.309123944811504,0.0441275279748981,0.0659376821742654,0.0878441129677408
"squid.CommentedOutCodeLine",1.06645565832748e-19,7.30016217778717e-40,0.17097634767467,0.0601822908890896,0.00740990359931912,0.127646967369288
"squid.EmptyStatementUsageCheck",6.17225314548663e-22,2.809060912829e-38,1.90512659179194e-08,0.248064097236418,0.000268852506715301,0.173078784845603
"squid.ForLoopCounterChangedCheck",1.60790884656952e-35,2.04542934656185e-40,0.00109530052455326,0.145762578042465,0.00451719224324099,0.135288241137263
"squid.HiddenFieldCheck",1.00662217548408e-28,1.40168466602715e-39,2.36019488030321e-10,0.282039132906891,7.42533308350811e-10,0.288401285921773
"squid.LabelsShouldNotBeUsedCheck",8.8082294278726e-42,8.90103690331338e-42,0.00204261966598259,0.138290523648284,1.12309422130752e-07,0.249905581738592
"squid.MethodCyclomaticComplexity",0.730433914707224,1.45908469339422e-32,3.00051779058465e-06,0.196460864844201,1.15744285753026e-12,0.330706507414375
"squid.MissingDeprecatedCheck",1.94320630547131e-39,1.29886155784168e-41,0.0590283872339433,0.0844680762867538,0.104969238488729,0.0774814339651037
"squid.ModifiersOrderCheck",6.82141318008839e-37,2.7939813673696e-41,0.840628983741628,0.00898420373483008,0.184047159582318,0.0635179665212884
"squid.RedundantThrowsDeclarationCheck",3.83480374546087e-16,1.61551855847111e-35,1.46210443961866e-08,0.251984210716258,0.00140279285493204,0.151991665024318
"squid.RightCurlyBraceStartLineCheck",8.65775692607205e-43,3.12381762685349e-42,0.464704613847349,-0.0327848292578066,0.584165925097074,-0.026191865065783
"squid.S00100",2.7677492794246e-42,5.10921553792399e-42,0.30060260637483,-0.0463912367540017,0.46229930305969,-0.0351722098667742
"squid.S00101",5.72125486251454e-43,3.12381762685349e-42,0.464704613847349,-0.0327848292578066,0.584165925097074,-0.026191865065783
"squid.S00105",9.08622266994939e-12,1.49619434905729e-33,0.264215417559268,-0.0500651116038364,0.851806163252627,-0.00894147937985942
"squid.S00107",7.99608004384025e-23,2.23069796639371e-38,5.86669105580357e-05,0.177898004733047,4.5002006643664e-06,0.216923967582609
"squid.S00108",3.15357824225647e-29,1.85926374535225e-40,0.199449772951105,0.0571204140416298,0.92140306729505,-0.00472253341100369
"squid.S00112",1.59699668333035e-37,1.92856470197267e-41,0.413198176962411,0.0365587982748086,0.691658209910378,0.0189813724495894
"squid.S00115",1.03451835961547e-37,8.14630032456974e-41,0.448376791049471,-0.0339608722576345,0.862283166673345,0.00830273031350844
"squid.S00116",8.8082294278726e-42,8.90103690331338e-42,0.983016656853966,0.000954550637779351,0.980521338561644,0.00116861048567005
"squid.S00117",1.70462956727363e-37,8.79523747396231e-42,0.193753352048804,-0.0580592120365962,0.37766660449848,-0.0422068620072294
"squid.S00120",2.5779146680864e-36,3.64604283691375e-40,0.00751833560043002,-0.119860713351302,0.044939451208384,-0.0957569614317347
"squid.S00122",2.9020535796172e-13,1.18822263602374e-39,0.399532970099934,0.0367220352559798,0.034361907258203,0.101011165648608
"squid.S106",2.5751308795586e-22,3.42372849146458e-40,0.115175740470187,0.0694453617565521,0.143650037694789,0.0699072413367209
"squid.S1066",1.61213625847551e-30,1.26068759067151e-39,0.07111504006108,0.0804137338052252,0.195856762830075,0.0618500472728224
