"key","creation-date","resolution-date","resolution","type","priority","open-issues","closed-issues"
"CLI-24","2002-06-18T14:18:58.000+0000","2007-03-15T16:49:11.000+0000","Fixed","Bug","Major","2","17"
"CLI-73","2002-08-14T09:46:49.000+0000","2007-03-15T16:49:17.000+0000","Fixed","Bug","Major","3","40"
"CLI-33","2002-09-01T00:44:39.000+0000","2007-03-15T16:49:12.000+0000","Fixed","Bug","Major","4","22"
"CLI-39","2002-10-09T03:54:40.000+0000","2007-03-15T16:49:13.000+0000","Fixed","Bug","Major","5","25"
"CLI-11","2002-10-16T02:47:14.000+0000","2007-03-15T16:49:09.000+0000","Fixed","Bug","Major","6","12"
"CLI-36","2002-10-19T16:19:51.000+0000","2007-03-15T16:49:13.000+0000","Fixed","Bug","Major","7","26"
"CLI-52","2002-11-09T21:58:35.000+0000","2007-03-15T16:49:15.000+0000","Fixed","Bug","Major","8","32"
"CLI-29","2002-11-23T06:58:08.000+0000","2007-03-15T16:49:12.000+0000","Fixed","Bug","Major","9","23"
"CLI-20","2002-12-04T11:41:23.000+0000","2007-03-15T16:49:10.000+0000","Fixed","Bug","Major","10","14"
"CLI-59","2002-12-20T02:40:46.000+0000","2007-03-15T16:49:16.000+0000","Fixed","Bug","Major","11","35"
"CLI-62","2003-01-28T17:32:17.000+0000","2007-03-15T16:49:16.000+0000","Fixed","Bug","Major","12","36"
"CLI-6","2003-03-05T17:21:15.000+0000","2008-07-24T23:18:22.000+0000","Fixed","Bug","Major","13","68"
"CLI-50","2003-04-09T01:47:55.000+0000","2007-03-15T16:49:15.000+0000","Fixed","Bug","Major","14","33"
"CLI-67","2003-04-28T18:20:46.000+0000","2007-03-15T16:49:17.000+0000","Fixed","Bug","Major","15","41"
"CLI-42","2003-05-06T15:33:48.000+0000","2007-03-15T16:49:14.000+0000","Fixed","Bug","Minor","16","28"
"CLI-15","2003-05-08T05:02:41.000+0000","2008-07-25T10:23:34.000+0000","Fixed","Bug","Major","17","69"
"CLI-72","2003-05-24T22:21:54.000+0000","2007-03-15T16:49:17.000+0000","Fixed","Bug","Major","18","42"
"CLI-8","2003-07-01T16:34:48.000+0000","2008-09-15T22:41:06.000+0000","Fixed","Bug","Major","19","75"
"CLI-19","2003-07-03T17:37:33.000+0000","2007-03-15T16:49:10.000+0000","Fixed","Bug","Minor","20","15"
"CLI-30","2003-09-30T19:48:14.000+0000","2006-07-10T13:26:18.000+0000","Fixed","Bug","Major","21","3"
"CLI-17","2003-10-23T15:42:34.000+0000","2007-03-15T16:49:10.000+0000","Fixed","Bug","Major","22","16"
"CLI-35","2003-10-29T01:12:13.000+0000","2007-03-15T16:49:13.000+0000","Fixed","Bug","Minor","23","27"
"CLI-46","2003-11-18T20:10:20.000+0000","2007-03-15T16:49:14.000+0000","Fixed","Bug","Major","24","29"
"CLI-69","2003-11-27T16:16:07.000+0000","2007-03-15T16:49:17.000+0000","Fixed","Bug","Major","25","43"
"CLI-55","2004-03-11T00:50:11.000+0000","2007-03-15T16:39:14.000+0000","Fixed","Bug","Major","26","6"
"CLI-26","2004-03-13T07:32:42.000+0000","2007-03-15T16:49:11.000+0000","Fixed","Bug","Major","27","18"
"CLI-28","2004-03-29T02:56:08.000+0000","2007-03-15T16:49:11.000+0000","Fixed","Bug","Major","28","19"
"CLI-56","2004-04-20T07:24:52.000+0000","2007-03-15T16:49:15.000+0000","Fixed","Bug","Major","29","34"
"CLI-21","2004-07-04T16:57:38.000+0000","2007-06-30T18:18:40.000+0000","Fixed","Bug","Major","30","53"
"CLI-45","2004-07-14T06:07:40.000+0000","2007-03-15T16:49:14.000+0000","Fixed","Bug","Major","31","30"
"CLI-63","2004-07-22T05:25:06.000+0000","2007-03-15T16:49:16.000+0000","Fixed","Bug","Major","32","37"
"CLI-31","2004-07-29T04:18:48.000+0000","2007-03-15T16:49:12.000+0000","Fixed","Bug","Major","33","24"
"CLI-74","2004-09-01T11:18:57.000+0000","2007-03-15T16:49:18.000+0000","Fixed","Bug","Major","34","44"
"CLI-25","2004-09-02T07:08:30.000+0000","2007-03-15T16:49:11.000+0000","Fixed","Bug","Major","35","20"
"CLI-23","2004-09-10T01:55:46.000+0000","2007-03-15T16:49:11.000+0000","Fixed","Bug","Major","36","21"
"CLI-9","2004-09-29T21:04:02.000+0000","2010-06-15T16:59:44.000+0000","Fixed","Bug","Major","37","92"
"CLI-65","2004-12-04T08:28:39.000+0000","2007-03-15T16:49:16.000+0000","Fixed","Bug","Major","38","38"
"CLI-3","2004-12-05T07:14:32.000+0000","2007-03-15T16:49:08.000+0000","Fixed","Bug","Major","39","8"
"CLI-14","2005-01-12T00:06:15.000+0000","2010-06-15T16:16:21.000+0000","Fixed","Bug","Minor","40","91"
"CLI-38","2005-02-02T07:45:03.000+0000","2007-05-15T21:24:16.000+0000","Fixed","Bug","Major","41","45"
"CLI-12","2005-03-30T06:16:27.000+0000","2006-07-12T13:04:43.000+0000","Fixed","Bug","Major","42","4"
"CLI-51","2005-05-10T10:50:14.000+0000","2007-05-22T17:47:28.000+0000","Fixed","Bug","Critical","43","47"
"CLI-44","2005-06-03T01:36:21.000+0000","2007-03-15T16:49:14.000+0000","Fixed","Bug","Major","44","31"
